,License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
115, 10/24,1,1,1,1,1,2,1,0,0,5
116, 10/25,3,3,0,1,2,1,0,0,5,3
117, 10/26,5,0,1,0,0,3,0,3,1,3
118, 10/27,3,1,1,1,4,1,4,1,2,2
119, 10/28,3,2,2,2,1,3,2,0,2,0
120, 10/29,2,3,4,1,0,0,2,2,6,0
121, 10/30,0,1,2,3,4,2,3,1,4,1
122, 10/31,0,5,3,6,6,0,2,0,2,6
123, 9/1,0,0,0,0,0,0,9,0,0,0
124, 9/2,0,7,0,0,0,0,8,10,0,0
125, 9/3,0,6,8,0,0,0,4,8,13,0
126, 9/4,0,7,11,14,0,0,1,4,17,0
127, 9/5,0,3,2,7,6,0,2,1,10,16
128, 9/6,0,0,1,6,5,0,0,0,3,15
129, 9/7,17,4,2,2,5,4,1,3,2,15
130, 9/8,16,0,1,0,1,2,2,3,2,5
131, 9/9,11,3,1,1,1,1,1,4,0,3
132, 9/10,5,0,5,2,1,1,2,1,6,4
133, 9/11,3,3,1,1,0,0,1,2,8,4
134, 9/12,2,0,1,2,3,0,3,2,3,12
135, 9/13,1,0,2,1,0,0,0,0,4,12
136, 9/14,6,1,0,0,3,0,2,0,2,6
137, 9/15,8,2,1,0,1,3,1,4,0,6
138, 9/16,1,2,0,2,0,0,1,2,1,4
139, 9/17,1,0,1,0,1,0,1,2,4,3
140, 9/18,0,2,2,2,0,0,1,1,3,5
141, 9/19,0,1,0,2,7,1,1,1,3,6
142, 9/20,2,1,3,1,2,1,1,0,0,11
143, 9/21,4,1,1,0,1,2,2,1,1,5
144, 9/22,1,0,0,0,1,3,1,0,3,4
145, 9/23,0,4,3,2,3,0,0,0,0,4
146, 9/24,0,2,2,2,2,1,0,0,4,3
147, 9/25,1,2,1,1,4,2,0,1,1,1
148, 9/26,0,0,0,2,2,1,0,0,1,1
149, 9/27,0,0,0,0,1,0,0,0,2,1
150, 9/28,6,4,3,0,0,2,2,0,0,0
151, 9/29,3,0,1,0,3,0,2,0,4,0
152, 9/30,4,2,2,1,1,0,0,1,5,0
